"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2024-01-11","1","Surface Water","1.4","0.44","4.7","79","6.3","700","2700","1.1","0.088","0.094","8","4.5","21.6","1","2.7","13","20.1","1.63","1","2.19","0.19","4.7","0.014","2.1"
"Deep Bay","DM1","2024-02-14","1","Surface Water","2.5","0.62","3.9","99","8.1","1100","1800","1.6","0.12","0.13","7.5","<0.2","18.8","0.7","6.6","61","19.4","2.34","1.2","2.92","0.35","37.7","0.006","6.2"
"Deep Bay","DM1","2024-03-09","1","Surface Water","0.3","0.4","1.4","123","9.9","25","30","1.7","0.068","0.13","7.7","1.4","24.9","1","5.5","24","18.8","2.17","0.76","2.53","0.24","2.9","0.006","2.4"
"Deep Bay","DM1","2024-04-10","1","Surface Water","0.4","0.41","2.1","65","5","120","240","1.2","0.076","0.13","7.6","0.9","16.6","1.1","5.3","5.6","24.3","1.69","0.73","2.01","0.24","25.1","0.009","1.2"
"Deep Bay","DM1","2024-05-09","1","Surface Water","1","0.41","1.8","96","7.2","700","1300","1.2","0.17","0.16","7.6","1.7","9.2","1.2","7.9","17","27.3","1.78","0.73","2.1","0.22","38.2","0.011","2.7"
"Deep Bay","DM1","2024-06-07","1","Surface Water","2.6","0.39","3.1","106","8","800","1300","1.3","0.17","0.17","7.5","2.1","9.4","0.9","11","14","27.3","1.86","0.68","2.15","0.26","30.6","0.007","1.9"
"Deep Bay","DM1","2024-07-24","1","Surface Water","0.6","0.082","8.5","79","5.5","16","49","0.87","0.09","0.11","7.8","4.6","12.8","1.4","0.92","7.3","31.3","1.04","0.54","1.5","0.21","20.5","0.004","1.8"
"Deep Bay","DM1","2024-08-21","1","Surface Water","2","0.54","1.4","111","8.4","1200","2900","1.1","0.28","0.18","7.5","1.1","6.4","1","9.5","31","28.2","1.92","1.1","2.48","0.25","34.6","0.013","3.6"
"Deep Bay","DM1","2024-09-19","1","Surface Water","0.4","0.12","18","113","7.7","14","110","0.56","0.072","0.096","7.8","3.7","16.3","1.1","0.17","13","30.6","0.75","0.57","1.2","0.27","19","0.006","2.9"
"Deep Bay","DM1","2024-10-18","1","Surface Water","0.9","0.25","11","112","7.7","46","170","0.88","0.094","0.18","7.4","4.3","21","1.1","6.4","27","28.9","1.22","0.56","1.53","0.38","29.3","0.004","3.4"
"Deep Bay","DM1","2024-11-18","1","Surface Water","0.7","0.6","3.9","112","8.3","470","1100","1.5","0.12","0.18","7.1","3.9","16.5","0.9","8.6","38","25.7","2.22","1.2","2.82","0.38","37.4","0.004","4.8"
"Deep Bay","DM1","2024-12-15","1","Surface Water","2.2","0.22","4.7","114","9.8","510","940","1.5","0.069","0.094","7.9","2.2","19.4","1.4","3.8","15","16.8","1.79","0.58","2.15","0.14","18.1","0.004","2.7"
"Deep Bay","DM2","2024-01-11","1","Surface Water","1.8","0.16","4.4","78","6.1","110","180","0.36","0.032","0.057","8.2","3.9","24.8","1.1","0.51","13","20.2","0.55","0.39","0.78","0.12","3.7","0.009","2.1"
"Deep Bay","DM2","2024-02-14","1","Surface Water","1.1","0.35","2.8","100","8","68","130","1.1","0.05","0.094","7.6","0.3","24.1","0.4","4.4","48","19.3","1.5","0.77","1.92","0.28","6.8","0.004","4.4"
"Deep Bay","DM2","2024-03-09","1","Surface Water","0.2","0.27","1","78","6.2","90","100","0.95","0.041","0.12","7.6","1","24.9","1.3","4.2","14","18.9","1.26","0.58","1.57","0.17","2.6","0.003","2.4"
"Deep Bay","DM2","2024-04-10","1","Surface Water","0.2","0.29","1.8","66","5","70","100","1.1","0.042","0.098","7.7","1.2","18.3","1.2","3.7","8.4","24.4","1.43","0.5","1.64","0.18","20.9","0.006","1.6"
"Deep Bay","DM2","2024-05-09","1","Surface Water","0.4","0.33","1.6","93","7","330","570","1.2","0.12","0.13","7.6","1.4","11.1","1.5","7.7","16","27","1.65","0.54","1.86","0.17","17.4","0.008","2.5"
"Deep Bay","DM2","2024-06-07","1","Surface Water","2.5","0.3","1.3","106","7.9","240","380","1.3","0.13","0.14","7.6","1.2","11.4","1.3","11","7.1","27.1","1.73","0.51","1.94","0.2","11.8","0.008","1.4"
"Deep Bay","DM2","2024-07-24","1","Surface Water","0.3","0.049","4.1","73","5","49","84","0.74","0.085","0.094","7.9","3","14.7","1.6","2","6.8","31","0.87","0.49","1.32","0.16","17.3","0.003","1.6"
"Deep Bay","DM2","2024-08-21","1","Surface Water","1.5","0.39","4.1","113","8.4","3200","7300","1.1","0.28","0.17","7.7","3.3","8.5","1.1","8.6","17","28.1","1.77","1.1","2.48","0.27","32.8","0.013","2.6"
"Deep Bay","DM2","2024-09-19","1","Surface Water","0.2","0.12","9.3","99","6.7","7","26","0.44","0.05","0.11","7.7","2.8","18.6","1.1","0.11","9.5","30.7","0.61","0.34","0.83","0.16","14.7","0.005","1.8"
"Deep Bay","DM2","2024-10-18","1","Surface Water","0.7","0.065","8","101","6.9","14","67","0.77","0.065","0.092","7.5","5","23.3","1.5","3.8","13","28.8","0.9","0.36","1.2","0.33","27.6","0.001","2.2"
"Deep Bay","DM2","2024-11-18","1","Surface Water","0.3","0.3","4","110","7.9","130","800","1","0.085","0.14","7.3","3.4","23.1","0.8","4.7","26","25.6","1.39","0.55","1.64","0.33","43.8","0.003","3.3"
"Deep Bay","DM2","2024-12-15","1","Surface Water","3.2","0.058","35","99","8.4","58","130","0.81","0.033","0.026","8","12","22.7","1.5","1.2","17","16.5","0.9","0.5","1.34","0.13","9.6","0.002","4.6"
"Deep Bay","DM3","2024-01-11","1","Surface Water","0.9","0.094","3.3","104","7.9","15","18","0.16","0.018","0.016","8.3","1.2","28.1","1.5","0.26","5","20.4","0.27","0.27","0.45","0.05","1.7","0.006","0.9"
"Deep Bay","DM3","2024-02-14","1","Surface Water","0.8","0.19","1.3","77","6","5","6","0.48","0.02","0.075","7.8","1.1","28.8","0.5","2.1","11","19.1","0.69","0.46","0.96","0.13","3.8","0.004","1.8"
"Deep Bay","DM3","2024-03-09","1","Surface Water","<0.1","0.16","0.8","73","5.7","14","27","0.48","0.018","0.058","7.8","0.2","28.6","1.6","2.1","3.2","19.3","0.66","0.32","0.82","0.09","1.4","0.003","0.6"
"Deep Bay","DM3","2024-04-10","1","Surface Water","0.3","0.18","0.9","69","5.2","41","90","1.1","0.039","0.044","7.9","0.8","18.1","1.5","2.5","8.1","24.4","1.32","0.35","1.49","0.09","12.5","0.007","1.3"
"Deep Bay","DM3","2024-05-09","1","Surface Water","0.2","0.17","1.2","72","5.3","240","730","1","0.08","0.061","7.8","0.6","14.5","1.2","4.9","9.8","26.2","1.25","0.36","1.44","0.09","11","0.006","1.8"
"Deep Bay","DM3","2024-06-07","1","Surface Water","1.8","0.12","1.2","107","7.9","270","510","1.2","0.098","0.068","7.7","1","13.8","1","8.2","9.2","26.9","1.42","0.29","1.59","0.12","14.2","0.004","1.2"
"Deep Bay","DM3","2024-07-24","1","Surface Water","<0.1","0.03","2.1","61","4.2","14","45","0.87","0.11","0.054","7.8","1.9","17.2","1.5","5","8.7","30.4","1.01","0.26","1.24","0.12","11.2","0.002","1.6"
"Deep Bay","DM3","2024-08-21","1","Surface Water","0.6","0.078","2.2","110","8","250","900","1.1","0.19","0.11","7.7","0.8","12.7","1.3","7.4","11","28.1","1.37","0.37","1.66","0.2","20.8","0.003","1.5"
"Deep Bay","DM3","2024-09-19","1","Surface Water","<0.1","0.12","4","100","6.6","2","10","0.43","0.063","0.042","7.8","1","21.9","1.2","1.1","11","30.8","0.61","0.24","0.73","0.1","13.3","0.005","2"
"Deep Bay","DM3","2024-10-18","1","Surface Water","0.2","0.084","2.8","97","6.5","3","10","0.45","0.039","0.075","7.6","2","27","1.1","3.3","13","28.6","0.57","0.27","0.76","0.25","14.4","0.002","1.8"
"Deep Bay","DM3","2024-11-18","1","Surface Water","<0.1","0.14","1.9","93","6.6","23","140","0.63","0.076","0.089","7.6","1.8","27.1","1.3","3.1","20","25.5","0.85","0.32","1.03","0.24","17","0.002","2.5"
"Deep Bay","DM3","2024-12-15","1","Surface Water","1.9","0.042","15","102","8.2","6","18","0.31","0.016","0.008","7.9","4.4","27.4","1.7","0.35","10","17.8","0.37","0.3","0.63","0.06","10.4","<0.001","2"
"Deep Bay","DM4","2024-01-11","1","Surface Water","0.8","0.058","3.4","113","8.5","2","7","0.2","0.028","0.008","8.2","2.1","30.2","1.8","0.31","9.6","20.5","0.29","0.18","0.41","0.04","1.1","0.003","1.7"
"Deep Bay","DM4","2024-01-11","1","Bottom Water","0.7","0.059","3.3","114","8.6","2","3","0.21","0.028","0.007","8.2","2.8","30.4","1.8","0.34","8","20.4","0.3","0.15","0.39","0.03","1.1","0.003","1.4"
"Deep Bay","DM4","2024-02-14","1","Surface Water","0.6","0.18","0.7","88","6.8","<1","<1","0.45","0.013","0.023","8","0.5","29.3","1.1","1.5","9.2","19.2","0.64","0.45","0.91","0.06","1.5","0.005","1.2"
"Deep Bay","DM4","2024-02-14","1","Bottom Water","0.5","0.17","1.8","89","7","2","5","0.43","0.014","0.028","8","<0.2","29.7","1.1","1.4","6.4","18.8","0.61","0.39","0.83","0.06","2","0.005","0.5"
"Deep Bay","DM4","2024-03-09","1","Surface Water","0.2","0.13","1.3","69","5.3","9","15","0.38","0.012","0.028","7.9","<0.2","30.5","2.5","1.4","2.9","19.2","0.52","0.31","0.7","0.06","1","0.003","0.6"
"Deep Bay","DM4","2024-03-09","1","Bottom Water","0.1","0.13","1.4","89","6.8","4","7","0.37","0.016","0.024","7.9","<0.2","30.6","2.5","1.4","3.3","19.5","0.52","0.3","0.69","0.07","0.7","0.003","0.6"
"Deep Bay","DM4","2024-04-10","1","Surface Water","0.1","0.17","1.1","89","6.7","140","230","1.2","0.05","0.03","8","<0.2","18","1.2","2.8","5.7","24.2","1.42","0.34","1.59","0.07","12.2","0.007","0.8"
"Deep Bay","DM4","2024-04-10","1","Bottom Water","0.4","0.16","1","68","5.2","80","140","1.2","0.049","0.031","7.9","0.3","18.1","1.2","2.3","8.8","24.1","1.41","0.33","1.58","0.07","14.6","0.006","2.4"
"Deep Bay","DM4","2024-05-09","1","Surface Water","0.2","0.15","0.7","85","6.3","90","290","0.99","0.075","0.045","7.8","0.6","15.8","1.9","4.5","3.4","25.9","1.22","0.3","1.37","0.07","5.9","0.005","0.7"
"Deep Bay","DM4","2024-05-09","1","Bottom Water","<0.1","0.15","1.1","75","5.6","150","470","0.97","0.074","0.043","7.8","<0.2","16","1.9","4.6","4.4","25.8","1.19","0.33","1.37","0.07","7.9","0.005","0.8"
"Deep Bay","DM4","2024-06-07","1","Surface Water","1.9","0.097","1.3","89","6.6","170","520","1.1","0.098","0.051","7.7","<0.2","14.7","1.6","7.5","2.5","26.8","1.3","0.24","1.44","0.09","6.2","0.003","0.8"
"Deep Bay","DM4","2024-06-07","1","Bottom Water","1.6","0.11","0.6","87","6.4","170","480","1.1","0.09","0.051","7.8","0.6","15.1","1.6","7.8","5.3","26.8","1.3","0.23","1.42","0.1","10","0.004","0.9"
"Deep Bay","DM4","2024-07-24","1","Surface Water","<0.1","0.022","1.7","89","6.1","13","41","0.88","0.13","0.045","7.8","1.5","17.6","1.3","6","5.6","30.2","1.03","0.24","1.25","0.12","5.9","0.001","1.8"
"Deep Bay","DM4","2024-07-24","1","Bottom Water","<0.1","0.022","2","64","4.4","9","34","0.89","0.13","0.045","7.8","1.6","17.8","1.3","6.3","3","29.9","1.04","0.22","1.24","0.09","4.9","0.001","1"
"Deep Bay","DM4","2024-08-21","1","Surface Water","0.4","0.007","1.1","93","6.8","240","1300","1.1","0.31","0.053","7.8","0.9","13.4","1.4","7.2","14","28","1.42","0.23","1.64","0.14","19.8","<0.001","1.6"
"Deep Bay","DM4","2024-08-21","1","Bottom Water","0.3","0.006","1.1","95","6.9","200","770","1.1","0.26","0.058","7.8","1.2","13.5","1.4","6.6","16","28","1.37","0.22","1.58","0.14","23.7","<0.001","2.1"
"Deep Bay","DM4","2024-09-19","1","Surface Water","<0.1","0.14","2.4","60","4","8","20","0.47","0.099","0.037","7.8","0.7","22.6","1.4","3.1","10","30.3","0.71","0.25","0.82","0.08","9.8","0.006","2"
"Deep Bay","DM4","2024-09-19","1","Bottom Water","<0.1","0.16","2","62","4.2","24","89","0.46","0.095","0.043","7.8","1.3","22.7","1.4","3","6","30.1","0.72","0.23","0.79","0.09","12.3","0.006","1.2"
"Deep Bay","DM4","2024-10-18","1","Surface Water","0.4","0.093","1.7","94","6.2","1","8","0.39","0.057","0.023","7.7","<0.2","27.4","1.7","2.1","1.4","29.1","0.54","0.2","0.65","0.14","6","0.003","<0.5"
"Deep Bay","DM4","2024-10-18","1","Bottom Water","0.2","0.084","1.7","85","5.6","3","18","0.38","0.058","0.022","7.7","0.7","27.4","1.7","2.1","5.6","29.1","0.52","0.24","0.68","0.14","7.2","0.003","1"
"Deep Bay","DM4","2024-11-18","1","Surface Water","<0.1","0.048","1.3","64","4.4","29","83","0.39","0.1","0.042","7.7","1.1","29.5","1.3","2.1","11","25.4","0.54","0.16","0.65","0.16","15.6","0.001","1.4"
"Deep Bay","DM4","2024-11-18","1","Bottom Water","<0.1","0.064","1","75","5.2","33","110","0.39","0.1","0.045","7.7","0.8","29.5","1.3","2.1","21","25.6","0.55","0.19","0.68","0.19","16.7","0.001","3.3"
"Deep Bay","DM4","2024-12-15","1","Surface Water","1.5","0.073","7.7","107","8.2","32","41","0.28","0.013","0.015","7.8","1.6","30.4","1.9","0.61","7.8","19.8","0.37","0.2","0.49","0.05","0.6","0.001","1.6"
"Deep Bay","DM4","2024-12-15","1","Bottom Water","1.4","0.064","7.7","88","6.7","24","38","0.26","0.014","0.013","7.8","2.2","30.5","1.9","0.53","9.6","19.9","0.34","0.25","0.52","0.06","6.4","0.001","2"
"Deep Bay","DM5","2024-01-11","1","Surface Water","0.7","0.048","5.6","99","7.4","8","13","0.23","0.031","0.005","8.2","3.1","30.9","2.3","0.32","9.9","20.2","0.31","0.15","0.41","0.03","0.9","0.002","1.8"
"Deep Bay","DM5","2024-01-11","1","Middle Water","0.7","0.057","5.2","118","8.9","11","31","0.21","0.032","0.006","8.2","3.5","31.1","2.3","0.25","7.1","20.2","0.3","0.16","0.4","0.03","0.6","0.003","1.3"
"Deep Bay","DM5","2024-01-11","1","Bottom Water","0.7","0.052","7.3","115","8.7","25","40","0.2","0.031","0.005","8.2","<0.2","31.2","2.3","0.26","9.6","20.2","0.28","0.16","0.39","0.03","0.6","0.002","1.4"
"Deep Bay","DM5","2024-02-14","1","Surface Water","0.5","0.17","0.9","85","6.6","3","7","0.38","0.011","0.018","8","<0.2","30.1","1.8","1.3","9.4","19","0.56","0.39","0.78","0.05","1.2","0.005","1.3"
"Deep Bay","DM5","2024-02-14","1","Middle Water","0.5","0.16","0.6","88","6.9","14","19","0.34","0.012","0.017","8","0.3","31.1","1.8","1.2","8.3","18.6","0.51","0.43","0.78","0.05","1.5","0.004","1.3"
"Deep Bay","DM5","2024-02-14","1","Bottom Water","0.5","0.16","0.6","88","6.9","23","40","0.33","0.01","0.021","8","0.6","31.1","1.8","1.1","5.7","18.6","0.5","0.4","0.74","0.05","1.7","0.004","0.7"
"Deep Bay","DM5","2024-03-09","1","Surface Water","0.3","0.13","1.6","73","5.6","25","41","0.28","0.008","0.018","8","<0.2","31.5","2.2","0.99","0.8","19.4","0.42","0.3","0.59","0.05","0.5","0.004","<0.5"
"Deep Bay","DM5","2024-03-09","1","Middle Water","<0.1","0.14","1.7","90","6.8","39","55","0.28","0.011","0.018","8","0.3","31.6","2.2","0.97","3.9","19.7","0.43","0.31","0.6","0.05","0.5","0.004","0.7"
"Deep Bay","DM5","2024-03-09","1","Bottom Water","0.1","0.13","1.7","88","6.6","90","100","0.26","0.009","0.014","8","<0.2","32","2.2","0.91","0.8","19.8","0.4","0.34","0.61","0.05","0.5","0.004","<0.5"
"Deep Bay","DM5","2024-04-10","1","Surface Water","0.3","0.15","1.1","99","7.4","21","71","1.1","0.044","0.023","8","0.5","18.7","1.6","2.3","2.5","24.8","1.29","0.26","1.4","0.06","5.2","0.008","1.1"
"Deep Bay","DM5","2024-04-10","1","Middle Water","0.4","0.14","0.7","76","5.6","35","95","1","0.038","0.021","8.1","0.5","21.1","1.6","2","5.8","24.2","1.18","0.3","1.34","0.06","5.8","0.007","1.5"
"Deep Bay","DM5","2024-04-10","1","Bottom Water","0.3","0.14","1.1","78","5.7","46","110","0.95","0.037","0.021","8.1","0.3","23.4","1.6","1.9","4.4","24","1.13","0.28","1.27","0.06","5.6","0.007","1.2"
"Deep Bay","DM5","2024-05-09","1","Surface Water","0.3","0.11","1.8","93","6.8","45","110","0.87","0.073","0.039","7.9","<0.2","17.5","1.9","4.3","2.2","25.9","1.05","0.26","1.2","0.06","3.1","0.005","2"
"Deep Bay","DM5","2024-05-09","1","Middle Water","<0.1","0.11","1.4","79","5.8","73","160","0.83","0.063","0.032","7.9","0.2","18.3","1.9","3.7","1.6","25.9","1","0.24","1.13","0.06","3.8","0.005","0.6"
"Deep Bay","DM5","2024-05-09","1","Bottom Water","0.3","0.12","1.5","79","5.8","50","80","0.79","0.066","0.044","7.9","<0.2","19.6","1.9","3.9","1.7","25.6","0.98","0.26","1.12","0.06","3.6","0.005","0.6"
"Deep Bay","DM5","2024-06-07","1","Surface Water","1.8","0.074","1.6","90","6.6","90","210","1","0.092","0.04","7.9","1","15.8","1.6","6","2.4","26.8","1.17","0.22","1.31","0.08","5.1","0.003","0.6"
"Deep Bay","DM5","2024-06-07","1","Middle Water","1.8","0.074","1.4","79","5.8","140","350","1","0.09","0.039","7.9","0.9","16.4","1.6","6.7","3.7","26.7","1.16","0.27","1.36","0.08","5.5","0.003","0.8"
"Deep Bay","DM5","2024-06-07","1","Bottom Water","1.7","0.082","1.1","74","5.4","460","1200","1","0.086","0.034","7.8","<0.2","16.7","1.6","7.3","3.4","26.7","1.17","0.26","1.35","0.08","5.6","0.003","1.6"
"Deep Bay","DM5","2024-07-24","1","Surface Water","<0.1","0.007","2.4","55","3.7","2","3","0.82","0.11","0.029","7.9","2.2","19.4","2","5.7","2.1","29.8","0.94","0.23","1.16","0.06","3.2","<0.001","0.6"
"Deep Bay","DM5","2024-07-24","1","Middle Water","0.2","0.023","2.7","64","4.4","11","29","0.74","0.11","0.032","7.9","2.6","19.3","2","5.3","2","30","0.87","0.25","1.1","0.08","3.1","0.001","1.1"
"Deep Bay","DM5","2024-07-24","1","Bottom Water","<0.1","0.018","2.5","58","4","6","17","0.79","0.11","0.032","7.9","2.4","19.5","2","5.4","2.5","29.6","0.92","0.28","1.18","0.07","4.3","<0.001","1.1"
"Deep Bay","DM5","2024-08-21","1","Surface Water","0.2","0.009","1.4","95","6.8","40","170","1","0.17","0.039","7.9","<0.2","17.5","1.8","5.7","5.8","27.2","1.18","0.17","1.34","0.13","6.6","<0.001","1.1"
"Deep Bay","DM5","2024-08-21","1","Middle Water","<0.1","<0.005","0.9","66","4.7","44","230","0.97","0.17","0.041","7.9","0.5","17.6","1.8","5.2","7.9","27.2","1.15","0.2","1.34","0.13","6.8","<0.001","1.4"
"Deep Bay","DM5","2024-08-21","1","Bottom Water","0.2","0.006","0.6","61","4.4","60","230","0.94","0.17","0.04","7.9","0.6","17.6","1.8","5.2","6.1","27.2","1.12","0.17","1.28","0.13","6.9","<0.001","1.1"
"Deep Bay","DM5","2024-09-19","1","Surface Water","<0.1","0.15","1.5","106","7","1","3","0.44","0.11","0.031","7.8","<0.2","24.5","1.3","3.4","5.8","30","0.7","0.19","0.74","0.07","10","0.006","0.8"
"Deep Bay","DM5","2024-09-19","1","Middle Water","<0.1","0.14","1.1","67","4.5","7","15","0.41","0.11","0.029","7.8","0.3","24.7","1.3","3.7","7.2","29.7","0.66","0.21","0.73","0.08","10.1","0.006","1.1"
"Deep Bay","DM5","2024-09-19","1","Bottom Water","0.8","0.15","1.1","61","4.1","4","29","0.42","0.1","0.029","7.8","0.3","25.2","1.3","3.6","9","29.5","0.67","0.18","0.7","0.08","9.2","0.006","1.3"
"Deep Bay","DM5","2024-10-18","1","Surface Water","0.3","0.088","1.5","96","6.3","<1","2","0.29","0.049","0.018","7.8","0.3","29","1.5","2","3.6","28.8","0.43","0.21","0.55","0.16","7.3","0.003","0.8"
"Deep Bay","DM5","2024-10-18","1","Middle Water","<0.1","0.082","1.4","74","4.9","2","9","0.28","0.05","0.016","7.8","0.3","29.2","1.5","2","2.1","28.6","0.41","0.19","0.52","0.15","9.5","0.003","0.5"
"Deep Bay","DM5","2024-10-18","1","Bottom Water","<0.1","0.1","1.2","75","4.9","6","24","0.26","0.046","0.019","7.8","1","29.3","1.5","1.9","14","28.6","0.41","0.19","0.5","0.15","11.8","0.003","1.9"
"Deep Bay","DM5","2024-11-18","1","Surface Water","<0.1","0.021","0.8","69","4.7","75","140","0.33","0.12","0.031","7.7","<0.2","30.2","1.8","2","6.9","25.5","0.47","0.11","0.56","0.16","7.1","<0.001","0.8"
"Deep Bay","DM5","2024-11-18","1","Middle Water","<0.1","0.028","0.6","75","5.2","73","160","0.33","0.12","0.032","7.7","0.3","30.2","1.8","2","9.8","25.6","0.48","0.12","0.57","0.14","7.2","<0.001","1.2"
"Deep Bay","DM5","2024-11-18","1","Bottom Water","<0.1","0.023","0.7","63","4.3","66","70","0.31","0.12","0.03","7.7","0.7","30.2","1.8","1.9","6.6","25.6","0.45","0.1","0.53","0.15","9.9","<0.001","1.1"
"Deep Bay","DM5","2024-12-15","1","Surface Water","1.2","0.1","7.9","103","7.8","73","120","0.2","0.009","<0.002","7.8","3","31.9","1.7","0.56","10","20.1","0.31","0.28","0.49","0.06","8.3","0.002","1.8"
"Deep Bay","DM5","2024-12-15","1","Middle Water","1.2","0.1","7.2","86","6.4","63","100","0.19","0.009","0.012","7.8","2.5","31.3","1.7","0.53","12","20.7","0.3","0.68","0.88","0.06","9.8","0.002","2"
"Deep Bay","DM5","2024-12-15","1","Bottom Water","1.5","0.1","6.6","80","6","40","70","0.24","0.008","0.009","7.8","2.9","31.3","1.7","0.16","8","20.7","0.35","0.25","0.5","0.06","9.6","0.002","1.4"
"Eastern Buffer","EM1","2024-01-15","1","Surface Water","0.6","0.051","5.7","108","8","130","240","0.041","0.005","0.002","7.8","0.6","33.3","3.1","0.15","8.6","20.3","0.1","0.14","0.19","0.03","7.2","0.001","1.2"
"Eastern Buffer","EM1","2024-01-15","1","Middle Water","0.9","0.041","5.2","84","6.2","43","67","0.036","0.004","<0.002","7.8","1.3","33.4","3.1","0.14","7.2","20.1","0.08","0.16","0.2","0.04","2.8","<0.001","1.2"
"Eastern Buffer","EM1","2024-01-15","1","Bottom Water","0.6","0.026","5.3","86","6.5","11","22","0.026","0.002","0.003","7.8","2.2","33.5","3.1","0.17","2.8","20","0.05","0.2","0.23","0.04","3.2","<0.001","0.8"
"Eastern Buffer","EM1","2024-02-03","1","Surface Water","0.5","0.025","1.4","78","5.9","<1","1","0.038","0.003","0.008","8","<0.2","34","5","0.4","1.6","19.1","0.07","0.2","0.24","0.03","0.3","<0.001","0.5"
"Eastern Buffer","EM1","2024-02-03","1","Middle Water","0.4","0.024","1","93","7.1","1","1","0.013","<0.002","<0.002","8","<0.2","34","5","0.37","2.4","19.1","0.04","0.2","0.22","0.04","0.3","<0.001","0.6"
"Eastern Buffer","EM1","2024-02-03","1","Bottom Water","0.4","0.023","1.2","93","7","<1","1","0.009","0.004","<0.002","8","<0.2","34.1","5","0.36","1.9","19.1","0.04","0.17","0.18","0.03","0.5","<0.001","<0.5"
"Eastern Buffer","EM1","2024-03-06","1","Surface Water","1.8","0.071","0.7","90","6.7","9","48","0.07","0.007","0.011","7.6","<0.2","34.1","3.1","0.54","0.5","20.2","0.15","0.22","0.3","0.05","2.6","<0.001","<0.5"
"Eastern Buffer","EM1","2024-03-06","1","Middle Water","1.9","0.071","0.6","93","6.9","140","220","0.055","0.006","0.005","7.6","<0.2","34.1","3.1","0.46","<0.5","19.9","0.13","0.45","0.51","0.05","2.5","<0.001","<0.5"
"Eastern Buffer","EM1","2024-03-06","1","Bottom Water","0.3","0.048","0.9","94","7","130","170","0.034","0.002","<0.002","7.7","0.6","34.3","3.1","0.37","3.6","19.7","0.08","0.14","0.18","0.04","2.5","<0.001","<0.5"
"Eastern Buffer","EM1","2024-04-11","1","Surface Water","0.4","0.043","1.8","100","7","6","14","0.058","<0.002","0.005","7.6","<0.2","33.6","2.9","0.26","2","23.6","0.1","0.19","0.25","0.06","2.6","<0.001","0.8"
"Eastern Buffer","EM1","2024-04-11","1","Middle Water","0.3","0.039","2.1","75","5.3","10","31","0.058","<0.002","0.004","7.6","<0.2","33.6","2.9","0.26","1.6","23.6","0.1","0.13","0.19","0.05","2.5","<0.001","0.8"
"Eastern Buffer","EM1","2024-04-11","1","Bottom Water","0.4","0.015","0.5","77","5.4","7","14","0.02","<0.002","<0.002","7.6","<0.2","33.9","2.9","0.26","2.6","23.5","0.04","0.08","0.1","0.05","3","<0.001","1.2"
"Eastern Buffer","EM1","2024-05-17","1","Surface Water","1.2","<0.005","1.9","84","5.7","<1","6","0.004","<0.002","0.004","8.2","<0.2","31.7","3.6","0.09","2.6","25.8","0.01","0.13","0.14","0.07","0.7","<0.001","0.6"
"Eastern Buffer","EM1","2024-05-17","1","Middle Water","<0.1","0.007","2.2","88","6","<1","3","0.009","<0.002","<0.002","8.2","<0.2","31.8","3.6","0.09","3.5","25.7","0.02","0.23","0.24","0.07","0.6","<0.001","0.8"
"Eastern Buffer","EM1","2024-05-17","1","Bottom Water","<0.1","<0.005","1.8","77","5.3","5","14","0.008","<0.002","0.003","8.2","<0.2","31.8","3.6","0.09","6.3","25.7","0.02","0.17","0.18","0.08","0.6","<0.001","1.9"
"Eastern Buffer","EM1","2024-06-21","1","Surface Water","2.9","0.053","36","84","5.7","330","2400","0.36","0.05","0.011","8.4","6.4","25.5","1.9","0.46","14","27.9","0.46","0.34","0.75","0.05","2.8","0.007","4"
"Eastern Buffer","EM1","2024-06-21","1","Middle Water","1","0.036","7.3","91","6.2","240","460","0.097","0.036","0.002","8.1","2.6","32.9","1.9","0.62","8.4","25.5","0.17","0.16","0.29","0.06","2.9","0.002","1.2"
"Eastern Buffer","EM1","2024-06-21","1","Bottom Water","0.5","0.027","3.1","92","6.3","130","220","0.065","0.033","0.009","8.1","1.4","33.9","1.9","0.66","14","24.9","0.13","0.16","0.26","0.06","2.5","0.001","2.7"
"Eastern Buffer","EM1","2024-07-04","1","Surface Water","1.9","0.04","38","97","6.8","80","460","0.47","0.029","<0.002","7.7","3.5","22.4","4.5","0.59","4.5","27.8","0.54","0.35","0.85","0.07","3.8","0.001","1.6"
"Eastern Buffer","EM1","2024-07-04","1","Middle Water","0.3","0.03","3.7","42","3","390","610","0.12","0.02","0.012","7.3","2.1","34","4.5","1.1","4.9","23.1","0.17","0.14","0.28","0.12","4.3","<0.001","1.1"
